ID,kpiName,category,currentValue,targetValue,unit,period,region,trend,achievementPercentage,lastUpdated,createdAt,modifiedAt
19,Sustainable Sourcing,Supply Chain,82.4,100.0,%,2024-Q3,Europe,Improving,82.4,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
20,Sustainable Sourcing,Supply Chain,67.9,100.0,%,2024-Q3,Asia Pacific,Improving,67.9,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
21,Sustainable Sourcing,Supply Chain,76.8,100.0,%,2024-Q3,Global,Improving,76.8,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
22,Zero Waste to Landfill,Operations,92.3,100.0,%,2024-Q3,Europe,Improving,92.3,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
23,Zero Waste to Landfill,Operations,78.6,100.0,%,2024-Q3,Asia Pacific,Improving,78.6,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
24,Zero Waste to Landfill,Operations,87.1,100.0,%,2024-Q3,Global,Improving,87.1,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
25,Supplier Sustainability Score,Supply Chain,8.2,9.0,Score,2024-Q3,Europe,Improving,91.1,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
26,Supplier Sustainability Score,Supply Chain,7.8,9.0,Score,2024-Q3,Asia Pacific,Improving,86.7,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
27,Supplier Sustainability Score,Supply Chain,8.0,9.0,Score,2024-Q3,Global,Improving,88.9,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
28,Carbon Intensity,Operations,0.145,0.120,kg CO2e/L,2024-Q3,Europe,Improving,82.8,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
29,Carbon Intensity,Operations,0.168,0.120,kg CO2e/L,2024-Q3,Asia Pacific,Improving,71.4,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
30,Carbon Intensity,Operations,0.154,0.120,kg CO2e/L,2024-Q3,Global,Improving,77.9,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
31,Packaging Weight Reduction,Packaging,12.8,15.0,%,2024-Q3,Europe,Improving,85.3,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
32,Packaging Weight Reduction,Packaging,9.4,15.0,%,2024-Q3,Asia Pacific,Improving,62.7,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
33,Packaging Weight Reduction,Packaging,11.5,15.0,%,2024-Q3,Global,Improving,76.7,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
34,Employee Engagement,Social,78.5,85.0,%,2024-Q3,Europe,Stable,92.4,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
35,Employee Engagement,Social,72.3,85.0,%,2024-Q3,Asia Pacific,Improving,85.1,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
36,Employee Engagement,Social,76.1,85.0,%,2024-Q3,Global,Improving,89.5,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
37,Community Investment,Social,2.8,3.0,Million EUR,2024-Q3,Europe,Improving,93.3,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
38,Community Investment,Social,1.9,2.5,Million USD,2024-Q3,Asia Pacific,Improving,76.0,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
39,Community Investment,Social,4.7,5.5,Million USD,2024-Q3,Global,Improving,85.5,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
40,Regulatory Compliance,Governance,94.2,100.0,%,2024-Q3,Europe,Stable,94.2,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
